Date,Price,,,,,
3/1/2013,78.85,,,,,
3/4/2013,78.85,,,,,
3/5/2013,78.85,,,,,
3/6/2013,78.81,,,,,
3/7/2013,79.1,,,,,
3/8/2013,79.1,,,,,
3/11/2013,78.74,,,,,
3/12/2013,78.74,,,,,
3/13/2013,78.715,,,,,
3/14/2013,78.615,,,,,
3/15/2013,78.615,,,,,
3/18/2013,78.615,,,,,
3/19/2013,78.545,,,,,
3/20/2013,78.35,,,,,
3/21/2013,78.4,,,,,
3/22/2013,78.4,,,,,
3/25/2013,78.3,,,,,
3/26/2013,78.3,,,,,
3/27/2013,78.235,,,,,
3/28/2013,78.075,,,,,
3/29/2013,78.075,,,,,
4/1/2013,78.145,,,,,
4/2/2013,78.095,,,,,
4/3/2013,78.095,,,,,
4/4/2013,78.075,,,,,
4/5/2013,78.075,,,,,
4/8/2013,78.075,,,,,
4/9/2013,78.075,,,,,
4/10/2013,78.3,,,,,
4/11/2013,78.28,,,,,
4/12/2013,78.28,,,,,
4/15/2013,78.25,,,,,
4/16/2013,78.23,,,,,
4/17/2013,78.25,,,,,
4/18/2013,78.23,,,,,
4/19/2013,78.2,,,,,
4/22/2013,78.2,,,,,
4/23/2013,78.12,,,,,
4/24/2013,78.15,,,,,
4/25/2013,78.12,,,,,
4/26/2013,78.1,,,,,
4/29/2013,78.15,,,,,
4/30/2013,78.17,,,,,
5/1/2013,78.13,,,,,
5/2/2013,78.17,,,,,
5/3/2013,78.15,,,,,
5/6/2013,78.17,,,,,
5/7/2013,78.13,,,,,
5/8/2013,78.1,,,,,
5/9/2013,78.08,,,,,
5/10/2013,78.07,,,,,
5/13/2013,78.07,,,,,
5/14/2013,78.02,,,,,
5/15/2013,78.02,,,,,
5/16/2013,78.02,,,,,
5/17/2013,78,,,,,
5/20/2013,78.02,,,,,
5/21/2013,78.01,,,,,
5/22/2013,77.99,,,,,
5/23/2013,77.97,,,,,
5/24/2013,77.93,,,,,
5/27/2013,78.02,,,,,
5/28/2013,78,,,,,
